,driverId,driver_name,total_wins,final_position
409,825,Kevin Magnussen,5,13.0
410,848,Alexander Albon,5,13.0
411,155,Kamui Kobayashi,4,13.0
412,813,Pastor Maldonado,4,13.0
413,8,Kimi Räikkönen,3,13.0
414,13,Felipe Massa,3,13.0
415,154,Romain Grosjean,3,13.0
416,818,Jean-Éric Vergne,3,13.0
417,821,Esteban Gutiérrez,3,13.0
418,832,Carlos Sainz,3,13.0
419,840,Lance Stroll,3,13.0
420,841,Antonio Giovinazzi,3,13.0
421,842,Pierre Gasly,3,13.0
422,854,Mick Schumacher,3,13.0
423,3,Nico Rosberg,2,13.0
424,16,Adrian Sutil,2,13.0
425,18,Jenson Button,2,13.0
426,815,Sergio Pérez,2,13.0
427,838,Stoffel Vandoorne,2,13.0
428,852,Yuki Tsunoda,2,13.0
429,855,Guanyu Zhou,2,13.0
430,5,Heikki Kovalainen,1,13.0
431,20,Sebastian Vettel,1,13.0
432,22,Rubens Barrichello,1,13.0
433,30,Michael Schumacher,1,13.0
434,808,Vitaly Petrov,1,13.0
435,811,Bruno Senna,1,13.0
436,816,Jérôme d'Ambrosio,1,13.0
437,820,Max Chilton,1,13.0
438,826,Daniil Kvyat,1,13.0
439,828,Marcus Ericsson,1,13.0
440,835,Jolyon Palmer,1,13.0
441,844,Charles Leclerc,1,13.0
442,846,Lando Norris,1,13.0
443,857,Oscar Piastri,1,13.0
444,858,Logan Sargeant,1,13.0
445,859,Liam Lawson,1,13.0
446,813,Pastor Maldonado,6,14.0
447,842,Pierre Gasly,5,14.0
448,855,Guanyu Zhou,5,14.0
449,817,Daniel Ricciardo,4,14.0
450,818,Jean-Éric Vergne,4,14.0
451,821,Esteban Gutiérrez,4,14.0
452,822,Valtteri Bottas,4,14.0
453,840,Lance Stroll,4,14.0
454,848,Alexander Albon,4,14.0
455,8,Kimi Räikkönen,3,14.0
456,852,Yuki Tsunoda,3,14.0
457,18,Jenson Button,2,14.0
458,825,Kevin Magnussen,2,14.0
459,826,Daniil Kvyat,2,14.0
460,849,Nicholas Latifi,2,14.0
461,5,Heikki Kovalainen,1,14.0
462,9,Robert Kubica,1,14.0
463,10,Timo Glock,1,14.0
464,16,Adrian Sutil,1,14.0
465,20,Sebastian Vettel,1,14.0
466,67,Sébastien Buemi,1,14.0
