,qualifying_position,diff_qual_final,num_pit_stops,driver_points,lap_time,stop_duration,constructor_points,starting_grid_position,final_position
239,2,1.0,1,73.0,87880,25566,146.0,1,1.0
240,3,1.0,1,59.0,88490,24874,61.0,2,2.0
241,6,3.0,1,76.0,90193,25220,86.0,5,3.0
242,10,6.0,1,73.0,91344,25079,146.0,9,4.0
243,4,-1.0,1,63.0,89408,25748,108.0,3,5.0
244,7,1.0,1,10.0,90789,24993,86.0,7,6.0
245,15,8.0,1,21.0,95146,25642,28.0,14,7.0
246,11,3.0,1,7.0,93279,26447,28.0,10,8.0
247,8,-1.0,1,51.0,92131,26380,86.0,8,9.0
248,14,4.0,1,15.0,94244,26410,44.0,13,10.0
249,2,1.0,1,88.0,86479,21375,133.0,2,1.0
250,7,5.0,1,53.0,90737,21830,108.0,7,2.0
251,15,12.0,1,37.0,93216,21407,58.0,15,3.0
252,1,-3.0,1,85.0,85307,21639,164.0,1,4.0
253,3,-2.0,1,86.0,86961,21133,97.0,3,5.0
254,5,-1.0,1,67.0,89446,21222,69.0,5,6.0
255,4,-3.0,1,79.0,87935,21199,164.0,4,7.0
256,12,4.0,1,55.0,92210,21534,108.0,12,8.0
257,11,2.0,1,21.0,92619,21453,58.0,11,9.0
258,6,-4.0,1,11.0,89480,21128,97.0,6,10.0
259,8,-3.0,1,21.0,89983,21489,28.0,8,11.0
260,13,1.0,1,7.0,93860,24583,28.0,13,12.0
261,17,4.0,1,29.0,95718,22704,44.0,22,13.0
262,14,0.0,1,2.0,95454,21689,6.0,14,14.0
263,11,10.0,1,111.0,117156,19789,122.0,11,1.0
264,5,3.0,1,73.0,115542,21879,126.0,5,2.0
265,12,9.0,1,17.0,119626,20477,92.0,12,3.0
266,19,15.0,1,91.0,121958,20246,176.0,19,4.0
267,8,3.0,1,17.0,116554,21198,44.0,8,5.0
268,6,0.0,1,75.0,118985,20625,92.0,6,6.0
269,10,3.0,1,27.0,117713,20295,44.0,10,7.0
270,9,1.0,1,49.0,120025,20246,137.0,9,8.0
271,15,6.0,1,39.0,120803,21032,60.0,15,9.0
272,14,4.0,1,16.0,120541,28440,45.0,14,10.0
273,17,6.0,1,2.0,121419,21209,6.0,17,11.0
274,3,-9.0,1,29.0,114989,21342,45.0,3,12.0
275,20,7.0,1,0.0,123017,20726,0.0,20,13.0
276,16,2.0,1,0.0,122293,21040,0.0,16,14.0
277,23,8.0,1,0.0,125680,31636,0.0,23,15.0
278,2,1.0,2,116.0,95778,25179,216.0,2,1.0
279,1,-1.0,1,129.0,96305,25372,152.0,1,2.0
280,4,1.0,2,100.0,94897,25319,216.0,4,3.0
281,5,1.0,1,23.0,95483,25325,152.0,5,4.0
282,6,1.0,1,83.0,95744,25581,144.0,6,5.0
283,10,4.0,2,61.0,98015,25388,144.0,9,6.0
284,3,-4.0,1,23.0,95191,25938,98.0,3,7.0
285,8,0.0,1,92.0,100444,24498,142.0,8,8.0
286,15,6.0,1,18.0,95963,25983,47.0,13,9.0
287,18,8.0,1,50.0,96086,25138,142.0,16,10.0
288,12,1.0,1,21.0,96365,26845,60.0,17,11.0
289,9,-3.0,1,17.0,97253,26060,44.0,14,12.0
290,14,1.0,1,2.0,98604,25626,6.0,12,13.0
291,16,2.0,1,4.0,99078,26489,6.0,23,14.0
292,13,-2.0,1,75.0,96282,25189,98.0,11,15.0
293,1,0.0,1,154.0,80832,17570,177.0,1,1.0
294,7,5.0,1,68.0,90100,17867,160.0,6,2.0
295,10,7.0,1,98.0,92446,18002,159.0,10,3.0
296,13,9.0,1,33.0,93641,18904,80.0,12,4.0
297,2,-3.0,1,110.0,80856,17512,230.0,2,5.0
298,12,6.0,1,47.0,95047,18143,80.0,17,6.0
299,4,-3.0,1,29.0,89271,18497,105.0,3,7.0
300,3,-5.0,1,120.0,91284,18253,230.0,8,8.0
301,5,-4.0,1,19.0,89793,18442,46.0,4,9.0
302,17,7.0,1,76.0,96521,18395,105.0,21,10.0
303,9,-2.0,1,27.0,92922,17899,46.0,9,11.0
304,14,2.0,1,23.0,106843,23049,177.0,13,12.0
305,11,-2.0,1,2.0,93386,18374,6.0,11,13.0
306,18,4.0,1,4.0,94664,18901,6.0,15,14.0
307,1,0.0,1,117.0,93423,20436,193.0,1,1.0
308,5,3.0,1,116.0,97664,20087,192.0,5,2.0
309,2,-1.0,1,76.0,94879,22151,192.0,2,3.0
310,3,-1.0,1,122.0,96703,19380,246.0,3,4.0
311,6,1.0,1,164.0,97308,19669,189.0,6,5.0
312,4,-2.0,1,76.0,95840,19408,193.0,4,6.0
313,9,2.0,1,24.0,99377,20213,53.0,9,7.0
314,11,3.0,1,124.0,98639,19611,246.0,11,8.0
315,7,-2.0,1,25.0,99656,19981,189.0,7,9.0
316,13,3.0,1,77.0,100709,20352,106.0,13,10.0
317,10,-1.0,1,19.0,100117,20736,46.0,10,11.0
318,12,0.0,1,27.0,102366,20460,46.0,12,12.0
319,8,-5.0,1,29.0,101573,20304,53.0,8,13.0
320,14,0.0,1,47.0,101984,20320,80.0,14,14.0
321,1,0.0,1,101.0,146028,19668,218.0,1,1.0
322,11,9.0,1,140.0,159182,20811,272.0,10,2.0
323,4,1.0,1,131.0,146728,20383,207.0,3,3.0
324,12,8.0,1,31.0,147525,22152,59.0,11,4.0
325,14,9.0,1,35.0,157957,20306,199.0,14,5.0
326,7,1.0,1,132.0,154265,20908,272.0,12,6.0
327,13,6.0,1,35.0,149379,21664,112.0,13,7.0
328,15,7.0,1,8.0,151611,20660,12.0,15,8.0
329,16,7.0,1,4.0,150376,20287,12.0,16,9.0
330,10,0.0,1,28.0,148499,21402,59.0,9,10.0
331,18,7.0,1,77.0,160148,21062,112.0,23,11.0
332,17,5.0,1,24.0,155591,21690,53.0,17,12.0
333,2,-11.0,1,33.0,170297,27248,80.0,2,13.0
334,1,0.0,1,142.0,93417,20736,243.0,1,1.0
335,13,11.0,1,65.0,99818,22472,100.0,12,2.0
336,10,7.0,1,179.0,97426,21515,226.0,10,3.0
337,3,-1.0,1,47.0,94673,22161,226.0,3,4.0
338,8,3.0,1,141.0,97230,21730,217.0,7,5.0
339,5,-1.0,1,43.0,96064,22247,126.0,4,6.0
340,7,0.0,1,83.0,99711,22346,126.0,6,7.0
341,4,-4.0,1,32.0,98590,22190,63.0,9,8.0
342,9,0.0,1,35.0,97831,22874,100.0,8,9.0
343,14,4.0,1,25.0,99018,22985,54.0,13,10.0
344,12,1.0,1,29.0,102927,22970,54.0,22,11.0
345,15,3.0,1,4.0,100284,21720,12.0,14,12.0
346,16,3.0,1,0.0,101438,21962,217.0,15,13.0
347,3,2.0,2,165.0,120608,31137,297.0,3,1.0
348,4,2.0,2,119.0,122589,29662,261.0,4,2.0
349,5,2.0,2,194.0,124729,29190,245.0,5,3.0
350,6,2.0,2,44.0,125591,30029,75.0,6,4.0
351,10,5.0,2,93.0,127940,29687,136.0,10,5.0
352,12,6.0,2,149.0,129239,29370,231.0,12,6.0
353,8,1.0,2,82.0,127314,31753,231.0,8,7.0
354,13,5.0,3,51.0,174254,29455,245.0,13,8.0
355,15,6.0,2,6.0,130715,29789,14.0,15,9.0
356,14,4.0,2,66.0,130182,30217,101.0,14,10.0
357,7,-4.0,2,132.0,126507,29304,297.0,7,11.0
358,21,9.0,2,0.0,132614,32015,0.0,20,12.0
359,18,5.0,2,35.0,133781,30842,101.0,17,13.0
360,11,-3.0,2,31.0,129648,30613,75.0,11,14.0
361,20,5.0,2,0.0,132024,30099,0.0,19,15.0
362,22,6.0,2,0.0,134889,30834,0.0,21,16.0
363,1,0.0,1,190.0,117872,20508,324.0,1,1.0
364,11,9.0,1,69.0,123402,20936,263.0,10,2.0
365,4,1.0,1,50.0,119454,20783,116.0,3,3.0
366,3,-1.0,1,131.0,121866,20233,283.0,8,4.0
367,9,4.0,1,152.0,125742,21148,283.0,9,5.0
368,8,2.0,1,157.0,124257,20901,239.0,7,6.0
369,10,3.0,1,37.0,126454,21007,81.0,15,7.0
370,14,6.0,1,33.0,127350,21361,58.0,12,8.0
371,2,-7.0,1,134.0,173742,32462,324.0,2,9.0
372,16,6.0,1,7.0,128624,21944,15.0,14,10.0
373,13,2.0,1,43.0,135845,20643,136.0,23,11.0
374,12,0.0,1,44.0,134512,21063,81.0,11,12.0
375,17,4.0,1,8.0,133918,22528,15.0,19,13.0
376,18,4.0,1,25.0,143885,27098,58.0,16,14.0
377,2,1.0,1,215.0,108151,19830,367.0,2,1.0
378,1,-1.0,1,152.0,108887,19811,367.0,1,2.0
379,4,1.0,1,209.0,110317,19930,290.0,4,3.0
380,6,2.0,1,81.0,111883,20607,290.0,6,4.0
381,5,0.0,1,167.0,112512,20211,255.0,5,5.0
382,8,2.0,1,45.0,113399,22125,89.0,8,6.0
383,7,0.0,1,88.0,114075,21681,255.0,7,7.0
384,17,9.0,1,12.0,118554,20865,21.0,16,8.0
385,16,7.0,1,9.0,120160,20151,21.0,21,9.0
386,3,-7.0,1,153.0,111045,19638,284.0,3,10.0
387,12,1.0,1,66.0,114561,24408,116.0,12,11.0
388,14,2.0,1,44.0,115742,20805,89.0,14,12.0
389,10,-3.0,1,43.0,115187,20087,136.0,10,13.0
390,15,1.0,1,33.0,116517,21137,58.0,15,14.0
391,18,3.0,1,25.0,116138,21886,58.0,17,15.0
392,1,0.0,1,240.0,93554,20707,407.0,1,1.0
393,5,3.0,1,227.0,97139,20800,316.0,5,2.0
394,2,-1.0,1,167.0,94827,20808,407.0,2,3.0
395,3,-1.0,1,165.0,97933,20852,306.0,3,4.0
396,4,-1.0,1,141.0,96522,21509,306.0,4,5.0
397,6,0.0,1,89.0,98435,21100,316.0,6,6.0
398,7,0.0,1,173.0,99060,21404,263.0,7,7.0
399,12,4.0,1,49.0,100441,21654,93.0,12,8.0
400,11,2.0,1,90.0,101771,20976,263.0,11,9.0
401,13,3.0,1,26.0,102608,22047,59.0,13,10.0
402,10,-1.0,1,93.0,100901,21490,136.0,10,11.0
403,16,4.0,1,44.0,103061,23948,93.0,16,12.0
404,15,2.0,1,9.0,103788,22637,21.0,15,13.0
405,17,3.0,1,50.0,104475,22726,116.0,17,14.0
406,5,4.0,1,198.0,113050,20278,288.0,4,1.0
407,7,5.0,1,245.0,115192,19368,340.0,6,2.0
408,3,0.0,1,255.0,126774,24962,422.0,24,3.0
409,6,2.0,1,153.0,116501,19455,318.0,5,4.0
410,4,-1.0,1,43.0,114395,20723,73.0,3,5.0
411,16,10.0,1,58.0,118078,19529,124.0,15,6.0
412,9,2.0,1,95.0,117149,19585,340.0,8,7.0
413,15,7.0,1,30.0,125741,22587,73.0,14,8.0
414,13,4.0,1,46.0,169694,26670,95.0,12,9.0
415,17,7.0,1,10.0,120683,20122,22.0,16,10.0
416,14,3.0,1,43.0,119978,19701,136.0,13,11.0
417,18,6.0,1,12.0,121022,20319,22.0,17,12.0
418,19,6.0,1,0.0,123203,23032,0.0,18,13.0
419,22,8.0,1,0.0,122891,19884,0.0,21,14.0
420,12,-3.0,1,66.0,119445,19486,124.0,11,15.0
421,21,5.0,1,0.0,123831,20769,0.0,20,16.0
422,23,6.0,1,0.0,133728,22272,0.0,22,17.0
423,2,1.0,1,190.0,109559,20814,353.0,2,1.0
424,1,-1.0,1,273.0,107821,20904,440.0,1,2.0
425,9,6.0,1,260.0,110603,24439,367.0,7,3.0
426,7,3.0,1,107.0,116792,21520,367.0,11,4.0
427,12,7.0,1,163.0,120820,21445,353.0,12,5.0
428,5,-1.0,1,206.0,114246,24840,302.0,4,6.0
429,4,-3.0,1,96.0,115014,21190,302.0,8,7.0
430,8,0.0,1,53.0,113678,22099,99.0,6,8.0
431,10,1.0,1,45.0,119311,22342,76.0,9,9.0
432,11,1.0,1,31.0,118883,22143,76.0,10,10.0
433,15,4.0,1,66.0,118172,22079,124.0,15,11.0
434,18,6.0,1,10.0,124004,22651,22.0,18,12.0
435,17,4.0,1,93.0,120340,21346,136.0,17,13.0
436,2,1.0,1,188.0,86961,21550,378.0,2,1.0
437,8,6.0,1,278.0,88548,22472,400.0,7,2.0
438,5,2.0,1,122.0,88414,22596,400.0,5,3.0
439,3,-1.0,1,179.0,88422,23127,460.0,3,4.0
440,7,2.0,1,63.0,88832,21347,109.0,6,5.0
441,4,-2.0,1,281.0,99703,20997,460.0,4,6.0
442,14,7.0,1,49.0,93200,25980,142.0,13,7.0
443,17,9.0,1,16.0,96216,22362,26.0,17,8.0
444,15,6.0,1,60.0,92223,27266,126.0,14,9.0
445,7,6.0,1,25.0,104043,22709,26.0,7,1.0
446,5,3.0,1,18.0,102073,21792,30.0,5,2.0
447,1,-2.0,1,15.0,99646,21807,23.0,1,3.0
448,4,0.0,1,12.0,101714,21754,30.0,4,4.0
449,3,-2.0,1,10.0,103828,22155,10.0,3,5.0
450,2,-4.0,1,8.0,105114,24240,23.0,2,6.0
451,12,5.0,1,6.0,106947,22693,10.0,12,7.0
452,9,1.0,1,4.0,105675,23010,10.0,9,8.0
